Pair 1 Trading Symbol,Pair 1 Quantity Multiplier,Pair 2 Trading Symbol,Pair 2 Quantity Multiplier,PL Offset,Reverse Signal Exit,Reverse Signal Entry,Max Pair Loss,Max Pair Gain
TATAMTRDVR19MAYFUT,1,TATAMOTORS19MAYFUT,1,3000,TRUE,TRUE,-2000,1000000
M&M19MAYFUT,1,M&M19JUNFUT,1,3000,TRUE,TRUE,-2000,1000000
