Trading Symbol,Margin Multiplier
YESBANK19AUGFUT,30
IBULHSGFIN19AUGFUT,30
RBLBANK19AUGFUT,30
JINDALSTEL19AUGFUT,30
M&MFIN19AUGFUT,30
